,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.33,52.0,88,56,10.04,AU,1594930776
1,Deputatsky,69.3,139.9,40.24,79,34,1.36,RU,1594930935
2,São João da Barra,-21.64,-41.05,71.6,68,75,6.93,BR,1594930935
3,Vaini,-21.2,-175.2,77.0,78,20,6.93,TO,1594930935
4,Tasiilaq,65.61,-37.64,48.2,66,100,13.87,GL,1594930935
5,Barrow,71.29,-156.79,35.6,80,90,12.75,US,1594930931
6,Kruisfontein,-34.0,24.73,48.56,56,39,3.94,ZA,1594930704
7,George Town,5.41,100.34,78.01,100,40,3.31,MY,1594930936
8,New Norfolk,-42.78,147.06,37.99,89,8,2.37,AU,1594930936
9,Talnakh,69.49,88.4,48.2,93,40,13.42,RU,1594930936
10,St. George's,12.06,-61.75,86.0,74,20,20.8,GD,1594930937
11,Puerto Ayora,-0.74,-90.35,75.2,69,20,18.34,EC,1594930937
12,Rikitea,-23.12,-134.97,73.47,83,100,4.14,PF,1594930938
13,Punta Arenas,-53.15,-70.92,32.0,93,75,5.82,CL,1594930938
14,Tuktoyaktuk,69.45,-133.04,53.6,62,75,12.75,CA,1594930938
15,Alofi,-19.06,-169.92,77.0,73,20,10.29,NU,1594930938
16,Micheweni,-4.97,39.83,76.93,66,70,18.1,TZ,1594930939
17,Tura,25.52,90.22,75.27,95,100,5.77,IN,1594930748
18,Mariánské Lázně,49.96,12.7,57.0,91,54,5.41,CZ,1594930940
19,Sainte-Anne-des-Monts,49.12,-66.49,70.32,40,99,4.74,CA,1594930940
20,Corinth,37.94,22.96,77.0,58,0,3.04,GR,1594930343
21,Saint-Philippe,-21.36,55.77,68.0,72,11,6.93,RE,1594930822
22,Lorengau,-2.02,147.27,82.11,69,66,3.49,PG,1594930941
23,Pokhara,28.23,83.98,72.45,83,75,0.83,NP,1594930941
24,Bereda,43.27,-7.54,62.01,88,80,5.01,ES,1594930941
25,Thompson,55.74,-97.86,60.8,82,75,13.87,CA,1594930942
26,Badak,6.85,124.72,73.44,94,97,1.7,PH,1594930942
27,Ushuaia,-54.8,-68.3,32.0,89,0,3.36,AR,1594930942
28,Richards Bay,-28.78,32.04,56.39,76,0,4.9,ZA,1594930942
29,Crailsheim,49.13,10.07,57.99,93,100,5.82,DE,1594930942
30,Mataura,-46.19,168.86,28.98,98,21,2.06,NZ,1594930934
31,Pucallpa,-8.38,-74.55,87.8,58,75,4.7,PE,1594930943
32,Dunda,-8.12,34.25,57.2,60,0,7.74,TZ,1594930943
33,Avarua,-21.21,-159.78,71.6,73,0,9.17,CK,1594930943
34,Hobart,-42.88,147.33,37.99,93,40,1.12,AU,1594930807
35,Dikson,73.51,80.55,40.71,94,100,3.53,RU,1594930943
36,‘Āhuimanu,21.44,-157.84,82.4,65,90,8.05,US,1594930879
37,Ribeira Grande,38.52,-28.7,73.4,64,75,11.41,PT,1594930944
38,Butaritari,3.07,172.79,83.01,67,43,9.24,KI,1594930944
39,Huarmey,-10.07,-78.15,66.58,67,4,10.38,PE,1594930944
40,Hilo,19.73,-155.09,82.4,65,1,5.82,US,1594930945
41,East London,-33.02,27.91,58.68,42,0,5.39,ZA,1594930799
42,Marsh Harbour,26.54,-77.06,83.62,74,0,15.41,BS,1594930866
43,Springfield,37.22,-93.3,86.0,62,1,9.17,US,1594930857
44,Hermanus,-34.42,19.23,53.01,75,0,4.0,ZA,1594930945
45,Saldanha,-33.01,17.94,51.8,66,0,9.78,ZA,1594930945
46,Margate,51.38,1.39,64.99,78,100,1.99,GB,1594930946
47,Bredasdorp,-34.53,20.04,50.0,93,0,2.24,ZA,1594930946
48,Fortuna,40.6,-124.16,63.0,77,1,17.22,US,1594930946
49,Harper,4.38,-7.72,75.34,76,98,10.02,LR,1594930946
50,Mossamedes,-15.2,12.15,67.69,62,0,1.81,AO,1594930830
51,Bluff,-46.6,168.33,37.98,88,25,10.45,NZ,1594930947
52,Dingle,11.0,122.67,76.51,88,18,2.26,PH,1594930947
53,Kavieng,-2.57,150.8,81.95,70,85,1.97,PG,1594930947
54,Ribeira Brava,32.65,-17.07,73.4,69,1,4.7,PT,1594930948
55,Boende,-0.22,20.87,73.72,90,84,1.99,CD,1594930948
56,Barabai,-2.58,115.38,73.08,91,96,1.05,ID,1594930948
57,Safaga,26.73,33.94,93.2,23,0,9.17,EG,1594930949
58,Kingaroy,-26.53,151.83,43.0,80,0,6.93,AU,1594930949
59,Half Moon Bay,37.46,-122.43,72.0,72,5,242.71,US,1594930702
60,Torbay,47.67,-52.73,48.99,100,90,19.46,CA,1594930949
61,Wajima,37.4,136.9,69.35,84,100,7.2,JP,1594930684
62,Shingū,33.73,135.98,68.86,93,100,7.16,JP,1594930949
63,Vinh,18.67,105.67,80.51,70,62,4.32,VN,1594930950
64,Mariana,-20.38,-43.42,65.3,78,72,3.2,BR,1594930920
65,Kapaa,22.08,-159.32,84.0,74,40,12.75,US,1594930950
66,Yafran,32.06,12.53,74.59,62,24,6.08,LY,1594930950
67,Esperance,-33.87,121.9,57.2,100,90,11.41,AU,1594930950
68,Port Elizabeth,-33.92,25.57,41.0,93,27,4.7,ZA,1594930785
69,Port Alfred,-33.59,26.89,57.36,50,3,6.53,ZA,1594930725
70,Saint Paul Harbor,57.79,-152.41,57.2,76,90,4.7,US,1594930951
71,Ponta do Sol,32.67,-17.1,73.4,69,1,4.7,PT,1594930951
72,Santa Fe,-31.63,-60.7,66.99,46,0,1.99,AR,1594930712
73,Cape Town,-33.93,18.42,48.2,87,0,3.36,ZA,1594930822
74,Kismayo,-0.36,42.55,77.27,73,100,23.53,SO,1594930807
75,Provideniya,64.38,-173.3,48.2,81,90,4.47,RU,1594930952
76,Qaanaaq,77.48,-69.36,44.35,77,81,5.97,GL,1594930952
77,Hithadhoo,-0.6,73.08,84.33,69,99,4.45,MV,1594930952
78,Lewistown,40.6,-77.57,82.99,74,90,5.82,US,1594930801
79,Kidal,18.44,1.41,93.31,31,0,13.8,ML,1594930952
80,Muros,42.78,-9.06,71.01,62,41,8.01,ES,1594930669
81,Sitka,57.05,-135.33,59.0,77,75,10.29,US,1594930953
82,Sapa,5.15,120.32,80.47,75,97,5.93,PH,1594930953
83,Mar del Plata,-38.0,-57.56,55.99,50,0,9.17,AR,1594930953
84,Waynesville,35.49,-82.99,82.99,58,39,1.99,US,1594930954
85,Yellowknife,62.46,-114.35,66.99,48,75,5.82,CA,1594930954
86,Tiksi,71.69,128.87,36.48,88,12,19.8,RU,1594930954
87,Omsukchan,62.53,155.8,50.77,89,100,9.22,RU,1594930955
88,Batticaloa,7.71,81.69,82.17,68,100,7.05,LK,1594930955
89,Omboué,-1.57,9.26,73.29,86,100,7.67,GA,1594930955
90,Forsytheganj,52.63,29.73,57.58,78,31,3.83,BY,1594930955
91,Helena,46.59,-112.04,82.4,23,1,2.08,US,1594930875
92,Atuona,-9.8,-139.03,79.99,76,0,20.62,PF,1594930726
93,Turka,49.15,23.03,55.99,85,99,1.32,UA,1594930955
94,Ulladulla,-35.35,150.47,53.01,66,75,12.75,AU,1594930955
95,Caravelas,-17.71,-39.25,73.0,73,65,12.08,BR,1594930956
96,Vigrestad,58.57,5.7,57.99,89,100,4.09,NO,1594930956
97,Puerto Quijarro,-17.78,-57.77,95.41,19,0,4.38,BO,1594930956
98,Yamada,39.47,141.95,60.51,87,96,1.74,JP,1594930705
99,Jamestown,42.1,-79.24,80.01,88,90,8.05,US,1594930815
100,Bama,11.52,13.69,74.21,84,100,16.71,NG,1594930956
101,Province of Mantua,45.17,10.78,75.99,68,1,4.68,IT,1594930957
102,Makakilo City,21.35,-158.09,84.2,62,75,9.17,US,1594930761
103,Jonesboro,35.84,-90.7,89.01,78,75,3.36,US,1594930839
104,Anchorage,61.22,-149.9,68.0,49,1,4.7,US,1594930795
105,Port Moresby,-9.44,147.18,74.34,91,29,11.25,PG,1594930957
106,Qaqortoq,60.72,-46.03,64.4,36,20,8.05,GL,1594930789
107,Narrabri,-30.32,149.78,37.0,92,40,5.82,AU,1594930958
108,Ancud,-41.87,-73.82,52.0,93,90,12.75,CL,1594930699
109,Clyde River,70.47,-68.59,66.2,52,75,12.75,CA,1594930958
110,Nikolskoye,59.7,30.79,60.8,67,75,8.95,RU,1594930958
111,Inuvik,68.35,-133.72,59.0,72,75,11.41,CA,1594930958
112,Campbell River,50.02,-125.24,69.8,73,75,9.17,CA,1594930758
113,Faanui,-16.48,-151.75,75.09,88,100,16.15,PF,1594930959
114,Bubaque,11.28,-15.83,79.59,84,100,17.45,GW,1594930959
115,Akureyri,65.68,-18.09,51.8,87,90,18.34,IS,1594930959
116,Mandera,3.94,41.87,81.63,45,100,24.63,KE,1594930888
117,Camacha,33.08,-16.33,71.6,73,20,12.75,PT,1594930959
118,Barra de Tecoanapa,16.52,-98.75,88.65,54,12,9.01,MX,1594930959
119,Gamba,-2.65,10.0,71.51,91,100,5.86,GA,1594930959
120,Carnarvon,-24.87,113.63,62.6,100,75,10.29,AU,1594930960
121,Samarai,-10.62,150.67,75.92,88,100,16.22,PG,1594930960
122,Albany,42.6,-73.97,79.0,57,97,9.26,US,1594930725
123,São Filipe,14.9,-24.5,76.39,79,26,10.69,CV,1594930960
124,Kaitangata,-46.28,169.85,39.0,74,10,3.0,NZ,1594930667
125,Fallon,39.47,-118.78,95.0,8,40,3.36,US,1594930960
126,Genhe,50.78,121.52,60.49,91,100,1.05,CN,1594930961
127,Yangi Marg`ilon,40.43,71.72,82.4,26,20,4.7,UZ,1594930961
128,Aklavik,68.22,-135.01,60.8,67,75,5.82,CA,1594930961
129,Paamiut,61.99,-49.67,44.71,82,25,20.98,GL,1594930961
